food_name,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,calcium_mg,ingredients,Meal Type,Cluster,Breakfast,Lunch,Dinner,Bevrage,Curry,Snack,chutney
Chicken lasagne(1 plate),785.18,187.49,13.9,10.45,10.36,2.74,0.11,50.38,119.98,"Lasagna sheets, Chicken, Tomato sauce, Cheese, Onion, Garlic, Herbs (oregano, basil), Salt",non veg,1,0,0,1,0,0,0,0
Fettuccine with spinach sauce(1 plate),540,129.21,12.19,3.1,7.83,1.18,0.77,10.29,53.67,"Fettuccine pasta, Spinach, Cream, Garlic, Parmesan cheese, Salt, Pepper",veg,1,0,1,0,0,0,0,0
Naan(1 piece),1197.8,286.45,51.75,8.05,4.99,5.59,1.91,10.15,88.01,"All-purpose flour, Yeast, Sugar, Salt, Yogurt, Milk, Ghee, Baking powder",veg,0,0,1,0,0,0,0,0
Bhatura(2 pieces),3265,793.2,10.73,1.63,82.56,0.69,0.38,0.38,12.12,"All-purpose flour, Yogurt, Baking soda, Salt, Sugar, Ghee, Water",veg,2,0,1,0,0,0,0,0
Idli(4 pieces),575.46,137.54,28.18,4.64,0.33,0.28,2.31,0,8,"Rice, Urad dal, Salt, Water",veg,1,1,0,0,0,0,0,0
Masala dosa(1 full length piece),683.8,164.58,19.57,3.29,7.84,1.33,2.52,0,15.58,"Rice, Urad dal, Potato, Onion, Green chilies, Mustard seeds, Curry leaves, Turmeric, Salt",veg,1,1,0,0,0,0,0,0
Semolina dosa (1 piece),947.56,227.05,32.84,7.3,7.12,4.37,4.04,4.59,116.04,"Semolina, Rice flour, Yogurt, Cumin, Salt, Water",veg,1,1,0,0,0,0,0,0
Onion tomato uttapam(2 pieces),1903.54,462.02,11.32,1.91,45.3,0.8,1.26,0,5.82,"Rice, Urad dal, Onion, Tomato, Green chilies, Curry leaves, Salt",veg,2,1,0,0,0,0,0,0
Paneer kaathi roll(1 piece),1186.3,285.94,20.1,6.92,19.55,3.29,2.4,30.84,101.66,"Whole wheat flour, Paneer, Onion, Green chilies, Spices (cumin, garam masala), Salt, Ghee",veg,1,1,0,0,0,0,0,0
Makki ki roti(2 pieces),1094.52,263.97,24.19,3.49,16.85,0.7,5.19,39.07,14.76,"Maize flour, Water, Salt, Ghee",veg,1,1,0,0,0,0,0,0
Washed moong dal (1 small cup),208.28,50,5.91,2.68,1.68,0.12,1.17,0,8.48,"Moong dal, Water, Salt",veg,1,0,0,1,0,0,0,0
Washed urad dal (1 small cup),254.82,61.32,5.84,2.51,2.98,0.32,1.53,0,10.24,"Urad dal, Water, Salt",veg,1,0,0,1,0,0,0,0
Split bengal gram with bottle gourd (1 cup),304.63,73.25,7.1,2.79,3.6,1.05,2.72,0,14.33,"Chana dal, Bottle gourd, Onion, Garlic, Ginger, Turmeric, Salt, Water",veg,1,0,0,1,0,0,0,0
Dry washed urad(1 small cup),520,124.71,15.66,6.85,3.5,0.73,4.06,0,27.08,"Urad dal, Water, Salt",veg,1,1,0,0,0,0,0,0
Mixed dal(1 cup),257.36,61.93,5.79,2.51,3.1,0.34,1.62,0,11,"Moong dal, Urad dal, Toor dal, Masoor dal, Salt, Water",veg,1,0,0,0,0,1,0,0
Whole moong(1 cup),223.16,53.7,5.22,2.25,2.56,0.59,2.02,0,13.58,"Whole moong, Water, Salt",veg,1,0,0,0,0,1,0,0
Whole masoor (1 cup),224.65,54.05,5.37,2.28,2.52,0.67,1.98,0,12.2,"Whole masoor dal, Water, Salt",veg,1,0,0,0,0,1,0,0
Whole moth (1 cup),228.59,55,5.74,2.01,2.62,0.66,1.85,0,18.98,"Whole moth dal, Water, Salt",veg,1,0,0,0,0,1,0,0
Whole urad(1 cup),223.55,53.8,5.05,2.21,2.62,0.57,2.32,0,13.07,"Whole urad dal, Water, Salt",veg,1,0,0,0,0,1,0,0
Moti mahal dal (1 cup),428.47,103.13,8.74,3.93,5.66,1.7,3.38,1.92,38.13,"Urad dal, Rajmah, Onion, Garlic, Spices (garam masala, cumin), Salt, Water",veg,1,0,0,0,0,1,0,0
Black channa curry (1 cup),585.35,140.68,14.11,5.67,6.61,2.36,7.99,0,53.87,"Black channa, Onion, Tomato, Garlic, Ginger, Spices (garam masala, cumin), Salt, Water",veg,1,0,0,0,0,1,0,0
Chickpeas curry (1 cup),680.17,163.43,19.98,6.1,6.84,4.78,4.73,0,30.61,"Chickpeas, Onion, Tomato, Garlic, Ginger, Spices (cumin, garam masala), Salt, Water",veg,1,0,0,0,0,1,0,0
Lobia curry(1 cup),620.13,148.99,17.88,6.06,5.62,2.51,4.57,0,36.8,"Lobia (black-eyed peas), Onion, Tomato, Garlic, Ginger, Spices (garam masala, cumin), Salt, Water",veg,1,0,0,0,0,1,0,0
Soyabean curry(1 cup),679.92,163.28,6.76,10.43,10.19,2.66,7.34,0,65.13,"Soyabeans, Onion, Tomato, Garlic, Ginger, Spices (garam masala, cumin), Salt, Water",veg,1,0,0,0,0,1,0,0
Kidney bean curry (1 cup),598.11,143.73,16.38,5.95,5.77,2.49,5.83,0,47.87,"Kidney beans (rajmah), Onion, Tomato, Garlic, Ginger, Spices (cumin, garam masala), Salt, Water",veg,1,0,0,0,0,1,0,0
Sambar(1 cup),404.5,96.92,10.57,3.35,4.38,3.31,3.52,0,30.24,"Toor dal, Tamarind, Mixed vegetables (carrot, drumstick, pumpkin), Onion, Garlic, Mustard seeds, Curry leaves, Spices (sambar powder), Salt",veg,1,0,0,0,0,1,0,0
Besan kadhi with pakodies(1 cup),1661.22,403.35,3.56,1.64,42.59,0.88,0.81,0.94,24.53,"Besan (gram flour), Yogurt, Onion, Garlic, Ginger, Mustard seeds, Curry leaves, Spices (turmeric, cumin), Salt",veg,2,0,0,0,0,1,0,0
Khatta channa(1 cup),841.56,202.57,21.14,6.3,10.56,4.75,5.26,0,40.77,"Chickpeas, Tamarind, Onion, Garlic, Ginger, Spices (cumin, coriander), Salt, Water",veg,1,0,0,0,0,1,0,0
Sprouted moong dal chat(1 cup),135.79,32.47,6.01,1.35,0.32,1.57,1.35,0,16.54,"Sprouted moong, Onion, Tomato, Green chilies, Lemon, Chaat masala, Salt, Coriander",veg,1,0,0,0,0,1,0,0
Potato cauliflower (1 cup),439.24,106.18,5.99,1.9,8.13,0.44,3.02,0,22.87,"Potato, Cauliflower, Onion, Garlic, Ginger, Spices (cumin, turmeric), Salt",veg,1,0,0,0,0,1,0,0
Potato capsicum(1 cup),519.38,125.53,8.72,1.41,9.33,0.54,2.02,0,16.45,"Potato, Capsicum, Onion, Garlic, Green chilies, Spices (cumin, coriander), Salt",veg,1,0,0,0,0,1,0,0
Cabbage and peas(1 cup),265.74,63.88,6.24,3.24,2.64,0.97,3.99,0,45.5,"Cabbage, Peas, Onion, Garlic, Ginger, Spices (cumin, turmeric), Salt",veg,1,0,0,0,0,1,0,0
Carrot and fenugreek leaves (1 cup),257.01,61.92,4.17,2.1,3.81,2.11,4.43,0,128.83,"Carrot, Fenugreek leaves, Onion, Garlic, Ginger, Spices (cumin, coriander), Salt",veg,1,0,0,0,0,1,0,0
Potato fenugreek (1 cup),559.22,135.15,8.47,2.25,10.04,0.54,2.93,0,107.8,"Potato, Fenugreek leaves, Onion, Garlic, Ginger, Spices (cumin, turmeric), Salt, Oil",veg,1,0,0,0,0,1,0,0
Brinjal bhartha (1 cup),269.75,65.12,4.4,1.38,4.48,1.82,3.27,0,17.85,"Brinjal (eggplant), Onion, Garlic, Tomato, Ginger, Spices (cumin, coriander), Salt, Oil",veg,1,0,0,0,0,1,0,0
Dry potato(1 cup),429.12,103.15,14.38,1.62,4.18,0.33,1.88,0,17.2,"Potato, Onion, Garlic, Ginger, Spices (cumin, turmeric), Salt, Oil",veg,1,0,0,0,0,1,0,0
Beans with coconut(1 cup),547.25,131.63,4.39,2.62,11.39,2.06,5.59,0,51.92,"Beans, Coconut, Onion, Garlic, Ginger, Mustard seeds, Curry leaves, Salt, Oil",veg,1,0,0,0,0,1,0,0
Cauliflower with coconut(1 cup),549.26,132.11,3.99,2.64,11.56,1.71,5.27,0,35.37,"Cauliflower, Coconut, Onion, Garlic, Spices (cumin, turmeric), Salt, Oil",veg,1,0,0,0,0,1,0,0
Carrot and cabbage with coconut (1 cup),443.45,106.61,4.99,1.82,8.62,2.36,4.52,0,48.63,"Carrot, Cabbage, Coconut, Onion, Garlic, Spices (cumin, turmeric), Salt, Oil",veg,1,0,0,0,0,1,0,0
Raw turnip with coconut (1 cup),550.6,132.15,5.78,1.8,11.47,4.4,2.79,0,50.65,"Raw turnip, Coconut, Onion, Garlic, Ginger, Spices (cumin, turmeric), Salt, Oil",veg,1,0,0,0,0,1,0,0
Raw papaya with coconut (1 cup),551.94,132.75,5.58,1.54,11.42,3.82,4.31,0,33.74,"Raw papaya, Coconut, Onion, Garlic, Ginger, Mustard seeds, Curry leaves, Salt, Oil",veg,1,0,0,0,0,1,0,0
Stuffed okra (1 cup),390.01,94.34,3.85,2.08,7.66,0.48,4.15,0,86.89,"Okra, Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Stuffed round gourd(1 cup),301.04,72.8,4.02,1.1,5.75,1.96,2.1,0,20.21,"Round gourd, Onion, Garlic, Spices (cumin, coriander), Salt, Oil",veg,1,0,0,0,0,1,0,0
Stuffed capsicum(1 cup),376.99,90.94,8.26,1.34,5.7,1.21,2.01,0,15.17,"Capsicum, Onion, Garlic, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Stuffed brinjal(1 cup),384.41,93,3.96,1.53,7.73,0.92,4.09,0,24.37,"Brinjal, Onion, Garlic, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Stuffed tomatoes (1 cup),387.69,93.35,6.19,3.28,6.06,2.68,2.2,0,59.16,"Tomatoes, Onion, Garlic, Spices (cumin, coriander), Salt, Oil",veg,1,0,0,0,0,1,0,0
Pea potato curry (1 cup),419.09,100.92,9.74,3.48,5.13,1.86,3.61,0,21.1,"Potato, Peas, Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Pea paneer curry (1 cup),560.98,134.83,9.29,6.61,7.75,3.89,3.3,0,105.2,"Paneer, Peas, Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Pea mushroom curry (1 cup),387.18,93.3,7.41,3.87,5.16,1.82,3.86,0,22.7,"Mushrooms, Peas, Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Pea curry (1 cup),427.75,102.99,9.2,4.51,5.11,1.98,4.44,0,24.48,"Peas, Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Pea vadi curry(1 cup),423.44,101.95,8.9,4.64,5.08,1.92,4.28,0,23.62,"Peas, Vadi (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Paneer curry(1 cup),734.21,176.52,8.4,7.8,12.38,6.29,1.4,0,189.06,"Paneer, Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Lotus stem curry (1 cup),457.31,110.34,9.24,1.53,7.25,2.09,3.14,0,26.59,"Lotus stem, Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Gravy for kofta(1 cup),519.4,125.59,6.31,1.75,10.35,3.73,1.96,1.18,39.65,"Onion, Tomato, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Pea kofta curry (1 cup),2451.23,595.66,4.17,2.01,63.39,0.88,1.7,0.21,13.84,"Peas, Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Spinach kofta curry (1 cup),2353.02,571.78,3.56,1.09,61.49,0.82,0.92,0.2,29.31,"Spinach, Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Paneer kofta curry(1 cup),2761.29,670.91,3.27,2.39,72.06,1.98,0.4,0.24,59.49,"Paneer, Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Lotus stem kofta curry (1 cup),2607.51,633.56,5.01,0.96,67.76,0.88,1.01,0.23,19.31,"Lotus stem, Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Raw banana kofta curry (1 cup),2580.81,627.27,3.4,0.62,67.98,2.3,0.59,0.23,9.23,"Raw banana, Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Cauliflower kofta curry (1 cup),2637.44,641.1,2.62,1.04,69.62,0.83,1,0.23,12.26,"Cauliflower, Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Cabbage kofta curry(1 cup),2632.23,639.81,2.87,0.98,69.4,0.89,0.9,0.23,15.46,"Cabbage, Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Lauki Kofta Curry(1 cup),2627.6,638.71,2.71,0.89,69.4,0.82,0.83,0.23,11.64,"Bottle gourd (lauki), Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Spinach paneer kofta curry (1 cup),2493.7,606.03,2.94,1.43,65.41,1.16,0.75,0.22,37.71,"Spinach, Paneer, Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Vegetarian egg kofta curry(1 cup),2581.9,627.41,4.26,1.33,67.24,1.19,0.64,0.22,28.39,"Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Baked vegetables(1 cup),371.43,88.99,8.44,3.67,4.44,2.56,2.34,8.27,80.2,"Mixed vegetables (carrot, beans, peas, etc.), Olive oil, Garlic, Herbs (thyme, rosemary), Salt",veg,1,0,1,0,0,0,0,0
Cauliflower musallam(1 cup),244.37,58.83,4.48,1.89,3.55,1.71,3.06,0,24.61,"Cauliflower, Tomato, Onion, Garlic, Spices (cumin, coriander, garam masala), Salt, Oil",veg,1,0,0,0,0,1,0,0
Baked vegetables with spinach (1 cup),324.45,77.79,6.93,3.22,4.03,2.09,2.33,6.55,78.63,"Mixed vegetables (carrot, beans, peas, etc.), Spinach, Olive oil, Garlic, Salt",veg,1,0,1,0,0,0,0,0
Baked potato with skin (1 cup),563.8,135.77,11.11,3.43,8.5,1.66,1.2,21.72,90.06,"Potatoes, Olive oil, Salt, Pepper, Herbs (rosemary, thyme)",veg,1,0,1,0,0,0,0,0
Shepherd's pie (vegetarian)(1 cup),564.33,135.63,12.03,5.04,7.3,2.78,2.23,10.62,85.59,"Mashed potatoes, Mixed vegetables (carrot, peas, corn), Onion, Garlic, Herbs (thyme, rosemary), Salt",veg,1,0,0,0,1,0,0,0
Baked brinjal in tomato sauce(1 cup),161.02,38.63,4.13,1.58,1.62,2.2,2.34,0,26.24,"Brinjal (eggplant), Tomato sauce, Onion, Garlic, Salt, Olive oil",veg,1,0,0,0,0,1,0,0
Dum aloo(1 cup),2806.84,682.33,3.33,0.7,74.01,0.71,0.68,0.49,16.49,"Potato, Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt, Oil",veg,2,0,0,0,0,1,0,0
Spinach paneer (1 cup),323.55,77.68,4.43,4.03,4.76,2.55,1.91,0,113.25,"Spinach, Paneer, Onion, Garlic, Ginger, Spices (cumin, coriander), Salt",veg,1,0,0,0,0,1,0,0
Methi chaman(1 cup),1957.78,475.62,2.78,1.54,50.91,1.79,0.53,0,60.57,"Fenugreek leaves, Paneer, Onion, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt",veg,2,0,0,0,0,1,0,0
Sarson ka saag(1 cup),364.17,87.84,5.33,3,5.86,0.75,3.69,13.24,134.41,"Mustard leaves, Spinach, Onion, Garlic, Ginger, Spices (cumin, garam masala), Salt, Ghee",veg,1,0,0,0,0,1,0,0
Jackfruit sabzi (1 cup),2572.48,625.4,3.4,0.69,67.6,2.59,1.02,0,9.85,"Jackfruit, Onion, Garlic, Ginger, Spices (cumin, coriander), Salt, Oil",veg,2,0,0,0,0,1,0,0
Avial(1 cup),520.92,124.56,8.47,2.46,8.94,3.83,5.44,0,31.9,"Mixed vegetables (carrot, beans, peas, etc.), Coconut, Yogurt, Mustard seeds, Curry leaves, Salt",veg,1,0,0,0,0,1,0,0
Al yakhani(1 cup),610.8,147.54,4.65,2.86,13.14,3.56,1.27,4.74,103.88,"Mutton, Onion, Garlic, Ginger, Spices (cumin, garam masala), Yogurt, Salt",non veg,1,0,0,0,0,1,0,0
Shahi paneer(1 cup),649.74,156.5,6.64,5.06,12.34,5.01,1.4,23.7,125.38,"Paneer, Onion, Tomato, Garlic, Ginger, Cream, Cashew nuts, Spices (cumin, garam masala), Salt",veg,1,0,0,0,0,1,0,0
Paneer in butter sauce(1 cup),607.5,145.61,9.7,6.99,8.81,7.49,1.5,9.9,170.59,"Paneer, Butter, Onion, Garlic, Ginger, Cream, Spices (cumin, coriander), Salt",veg,1,0,0,0,0,1,0,0
Methi malai paneer(1 cup),810.16,194.98,8.15,7.34,14.76,6,1.47,7.11,183.96,"Paneer, Fenugreek leaves, Cream, Onion, Garlic, Ginger, Spices (cumin, coriander), Salt",veg,1,0,0,0,0,1,0,0
Chilli paneer(1 cup),3199.66,777.51,3.31,2.1,84.01,1.5,0.5,0.34,42.9,"Paneer, Onion, Bell peppers, Soy sauce, Garlic, Ginger, Green chilies, Cornflour, Salt",veg,2,0,0,0,0,1,0,0
Paneer makhana korma(1 cup),3194.04,775.82,4.63,3.24,82.76,1.84,0.21,1.58,72.89,"Paneer, Makhana (fox nuts), Onion, Garlic, Ginger, Cream, Cashew nuts, Spices (cumin, garam masala), Salt",veg,2,0,0,0,0,1,0,0
Kadhai Paneer(1 cup),449.91,107.99,7.34,4.33,6.81,5.54,2.07,0,91.53,"Paneer, Onion, Bell peppers, Tomato, Garlic, Ginger, Spices (cumin, coriander, garam masala), Salt",veg,1,0,0,0,0,1,0,0
Roghan josh(1 half portion),582.69,139.59,4.93,9.56,9.02,2.66,2.08,1.4,112.33,"Mutton, Onion, Garlic, Ginger, Yogurt, Spices (garam masala, cumin, coriander), Salt",non veg,1,0,0,0,0,1,0,0
Spinach mutton (1 cup),335.43,80.32,3.45,5.74,4.71,1.42,2.23,0.68,96.88,"Mutton, Spinach, Onion, Garlic, Ginger, Spices (garam masala, cumin), Salt",non veg,1,0,0,0,0,1,0,0
Pea keema curry(1 cup),553.15,133,6.24,8.43,8.14,1.82,2.96,22.87,35.6,"Mutton keema, Peas, Onion, Garlic, Ginger, Spices (garam masala, cumin), Salt",non veg,1,0,0,0,0,1,0,0
Keema kofta curry(1 cup),643.38,154.45,5.64,9.77,10.39,2.14,1.51,57.79,49.89,"Mutton keema, Kofta (fried lentil balls), Onion, Garlic, Ginger, Spices (garam masala, cumin), Salt",non veg,1,0,0,0,0,1,0,0
Kashmiri mutton koftas (1 cup),405.6,97.42,3.04,6.33,6.77,2.13,0.62,25.31,52.53,"Mutton, Onion, Garlic, Yogurt, Spices (garam masala, saffron), Salt",non veg,1,0,0,0,0,1,0,0
Mutton yakhni(1 cup),434.62,104.13,0.84,8.27,7.7,0.13,0.67,0,88.61,"Mutton, Onion, Garlic, Ginger, Spices (garam masala, cumin), Yogurt, Salt",non veg,1,0,0,0,0,1,0,0
Chicken yakhni(1 cup),413.28,99,0.78,10.66,6.1,0.12,0.62,29.29,28.24,"Chicken, Onion, Garlic, Ginger, Spices (garam masala, cumin), Yogurt, Salt",non veg,1,0,0,0,0,1,0,0
Mutton do piaza(1 cup),762.28,183.3,4.14,9.39,14.41,2.9,1.93,77.86,118.61,"Mutton, Onion, Garlic, Ginger, Spices (cumin, garam masala), Salt",non veg,1,0,0,0,0,1,0,0
Mutton chops(1 cup),2732.12,663.64,1.48,4.03,71.31,0.42,0.17,13.32,36.18,"Mutton chops, Onion, Garlic, Ginger, Spices (garam masala, cumin), Salt",non veg,2,0,0,0,0,1,0,0
Shammi kebab(2 pieces),2822.97,685.69,3.54,4.52,72.61,0.31,1.05,24.6,13.11,"Mutton keema, Lentils, Onion, Garlic, Ginger, Spices (cumin, garam masala), Salt",non veg,2,0,0,0,0,1,0,0
Scotch egg(2 pieces),2786.45,676.89,1.91,4.05,72.62,0.3,0.36,48.59,15.03,"Boiled eggs, Sausage meat, Breadcrumbs, Onion, Garlic, Spices, Oil",non veg,2,0,0,0,0,1,0,0
Shepherd's pie (with minced meat)(2 pieces),593.85,142.78,8.06,7.45,8.88,1.7,1.05,33.31,21.3,"Minced meat, Mashed potatoes, Onion, Garlic, Vegetables (peas, carrots), Spices, Salt",non veg,1,0,0,0,0,1,0,0
Chicken curry(1 cup),538.96,129.22,3.38,11.79,7.57,1.79,1.41,31.25,27.29,"Chicken, Onion, Garlic, Ginger, Tomato, Spices (garam masala, cumin), Salt",non veg,1,0,0,0,0,1,0,0
Tandoori chicken(2 pieces),607.17,145.2,2.34,16.26,7.93,1.58,0.5,44.25,44.33,"Chicken, Yogurt, Garlic, Ginger, Lemon, Spices (tandoori masala, cumin), Salt",non veg,1,0,0,0,0,1,0,0
Butter chicken(1 cup),571.18,137,3.74,10.92,8.7,2.37,1.32,39.26,25.28,"Chicken, Butter, Cream, Onion, Garlic, Ginger, Tomato, Spices (garam masala, cumin), Salt",non veg,1,0,0,0,0,1,0,0
Chicken kebab(4 pieces),3001.14,729.41,1.11,3.71,78.89,0.24,0.21,9.94,3.46,"Chicken, Onion, Garlic, Ginger, Spices (cumin, coriander), Salt, Oil",non veg,2,0,0,0,0,1,0,0
Chilli chicken(1 plate),823.97,198.83,2.86,9.57,16.56,0.93,0.99,23.87,12.97,"Chicken, Onion, Bell peppers, Soy sauce, Garlic, Ginger, Green chilies, Cornflour, Salt",non veg,1,0,0,0,0,1,0,0
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath)(2 pieces),521.48,125.03,2.51,11.48,7.61,1.16,1.13,31.09,16.09,"Chicken, Tomato, Garlic, Ginger, Salt, Oil",non veg,1,0,0,0,0,1,0,0
Fish curry (1 cup),461.62,111.13,3.77,8.76,6.69,2.02,1.89,19.22,52.06,"Fish, Onion, Garlic, Ginger, Tomato, Spices (garam masala, cumin), Salt",non veg,1,0,0,0,0,1,0,0
Fried fish (2 pieces),2711.38,658.54,5.4,4.35,68.88,0.4,0.61,6.57,11.11,"Fish, Onion, Garlic, Ginger, Spices, Salt, Oil",non veg,2,0,0,0,0,1,0,0
Fried fish and Chips (2 pieces),2682.09,651.75,2.77,3.36,69.69,0.17,0.29,12.51,6.56,"Fish, Potatoes, Oil, Salt",non veg,2,0,0,0,0,1,0,0
Tomato fish(2 pieces),2015.88,489.79,3.18,2.39,51.91,1.35,0.72,5.17,6.46,"Fish, Tomatoes, Onion, Garlic, Ginger, Spices (garam masala, cumin), Salt",non veg,2,0,0,0,0,1,0,0
Baked fish with cheese sauce(2 pieces),475.32,113.96,4.06,8.64,7.02,3.22,0.08,21.37,115.64,"Fish, Cheese, Garlic, Butter, Salt, Pepper",non veg,1,0,0,0,0,1,0,0
Fish tikka(1 pieces),489.08,117.33,3.91,16,4.15,1.18,1.18,32.73,31.98,"Fish, Yogurt, Spices (tandoori masala, cumin), Salt",non veg,1,0,0,0,0,1,0,0
Tandoori fish(1 pieces),400.97,95.98,2.37,11.19,4.64,1.6,0.58,23.41,37.27,"Fish, Yogurt, Garlic, Ginger, Spices (tandoori masala, cumin), Salt",non veg,1,0,1,0,0,0,0,0
"Paneer, apple and pineapple salad(1 plate)",397.42,95.08,8.35,3.88,5.07,6.36,1.65,6.52,103.05,"Paneer, Apple, Pineapple, Cucumber, Lemon, Salt",veg,1,0,1,0,0,0,0,0
Russian salad(1 plate),476.71,114.83,6.5,4.26,7.84,1.66,2.57,64.49,34.92,"Carrot, Potato, Green peas, Mayonnaise, Cream, Salt",veg,1,0,1,0,0,0,0,0
Pasta salad(1 plate),792.54,190.36,12.7,4.15,13.92,2.6,0.96,12.7,66.74,"Pasta, Cucumber, Tomato, Olive oil, Lemon, Salt",veg,1,0,1,0,0,0,0,0
Deviled egg(2 pieces),409.48,98.56,2.23,4.97,7.72,0.82,1.15,118.13,36.84,"Boiled eggs, Mayonnaise, Mustard, Salt, Pepper",non veg,1,0,1,0,0,0,0,0
Hawain salad(1 plate),733.88,175.23,14.35,4.27,11.37,5.24,3.93,4.24,61.03,"Pineapple, Lettuce, Coconut, Tomato, Onion, Lemon",veg,1,0,1,0,0,0,0,0
Mixed pulse and vegetable salad(1 plate),349.23,83.12,13.96,4.74,0.84,1.36,2.96,0,51.63,"Mixed pulses (moong, chana), Cucumber, Tomato, Onion, Salt",veg,1,0,1,0,0,0,0,0
Sprouted moong salad (1 plate),158.65,37.81,5.48,2.29,0.74,2.13,0.95,1.62,54.56,"Sprouted moong, Tomato, Cucumber, Lemon, Salt",veg,1,1,0,0,0,0,0,0
Tossed salad(1 plate),261.03,62.96,4.95,1.02,4.22,1.56,2.15,0,32.37,"Lettuce, Cucumber, Tomato, Onion, Lemon, Salt",veg,1,1,0,0,0,0,0,0
Mixed vegetable salad with curd sauce(1 plate),252.12,60.28,7.03,4.23,1.5,2.16,3.79,4.09,65.51,"Mixed vegetables, Curd, Cucumber, Onion, Lemon, Salt",veg,1,0,0,1,0,0,0,0
Potato salad(1 plate),374.93,89.91,11.19,1.4,4.4,3.94,1.32,0,25.61,"Potato, Onion, Cucumber, Lemon, Salt",veg,1,0,0,1,0,0,0,0
Waldroff salad(1 plate),588.94,141.75,11.02,1.47,10.05,8.23,1.87,9.87,29.29,"Apple, Celery, Walnut, Mayonnaise, Salt",veg,1,0,0,1,0,0,0,0
Coleslaw(1 plate),318.36,76.71,5.59,1.24,5.32,3.62,2.34,6.42,37,"Cabbage, Carrot, Mayonnaise, Vinegar, Salt",veg,1,0,0,1,0,0,0,0
Fruit salad (1 cup),328.7,78.14,15.96,0.91,1.22,9.78,1.58,2.71,25.93,"Mixed fruits, Honey, Lemon, Salt",veg,1,1,0,0,0,0,0,0
Tomato onion raita(1 cup),248.26,59,7.08,3.74,1.84,5.98,0.97,6.19,120.62,"Tomato, Onion, Yogurt, Cucumber, Salt",veg,1,0,0,0,0,1,0,0
Peanut raita (1 cup),631.24,150.39,9.3,8.59,8.98,7.11,1.89,8.97,174.6,"Peanuts, Yogurt, Cucumber, Salt",veg,1,0,0,0,0,1,0,0
Sprouted moong raita (1 cup),256.2,60.89,6.13,4.62,2.19,5.59,0.16,7.21,139.44,"Sprouted moong, Yogurt, Cumin powder, Black salt, Fresh coriander leaves, Green chili.",veg,1,0,0,0,0,1,0,0
Bottle gourd raita (1 cup),237.21,56.31,5.76,3.98,2.07,5.25,0.85,7.21,138.26,"Bottle gourd, Yogurt, Cumin powder, Black salt, Fresh coriander leaves.",veg,1,0,0,0,0,1,0,0
